Participant,ContrastNum,X,Y,Z,Correlation
abs13ins20024_04204,Con1,23,14,2,0.85
abs13ins20024_04204,Con1,26,14,2,0.37
abs13ins20024_04204,Con1,29,14,2,0.58
abs13ins20024_04204,Con1,32,14,2,0.44
abs13ins20024_04204,Con1,35,14,2,0.93
abs13ins20024_04204,Con1,47,14,2,0.96
abs13ins20024_04204,Con1,50,14,2,0.97
abs13ins20024_04204,Con1,53,14,2,0.98
abs13ins20024_04204,Con1,20,17,2,0.93
abs13ins20024_04204,Con1,23,17,2,0.91
abs13ins20024_04204,Con1,26,17,2,0.94
abs13ins20024_04204,Con1,29,17,2,0.98
abs13ins20024_04204,Con1,32,17,2,0.93
abs13ins20024_04204,Con1,35,17,2,0.93
abs13ins20024_04204,Con1,38,17,2,0.93
abs13ins20024_04204,Con1,41,17,2,0.98
abs13ins20024_04204,Con1,44,17,2,0.52
abs13ins20024_04204,Con1,47,17,2,0.92
abs13ins20024_04204,Con1,50,17,2,0.80
abs13ins20024_04204,Con1,53,17,2,0.89
abs13ins20024_04204,Con1,56,17,2,0.98
abs13ins20024_04204,Con1,59,17,2,0.99
abs13ins20024_04204,Con1,17,20,2,0.83
abs13ins20024_04204,Con1,20,20,2,0.62
abs13ins20024_04204,Con1,23,20,2,0.89
abs13ins20024_04204,Con1,26,20,2,0.98
abs13ins20024_04204,Con1,29,20,2,0.97
abs13ins20024_04204,Con1,32,20,2,0.92
abs13ins20024_04204,Con1,35,20,2,0.94
abs13ins20024_04204,Con1,38,20,2,0.99
abs13ins20024_04204,Con1,41,20,2,1.00
abs13ins20024_04204,Con1,44,20,2,1.00
abs13ins20024_04204,Con1,47,20,2,0.55
abs13ins20024_04204,Con1,50,20,2,0.54
abs13ins20024_04204,Con1,53,20,2,0.96
abs13ins20024_04204,Con1,56,20,2,0.98
abs13ins20024_04204,Con1,59,20,2,0.95
abs13ins20024_04204,Con1,62,20,2,0.91
abs13ins20024_04204,Con1,17,23,2,0.41
abs13ins20024_04204,Con1,20,23,2,0.72
abs13ins20024_04204,Con1,23,23,2,0.91
abs13ins20024_04204,Con1,26,23,2,0.98
abs13ins20024_04204,Con1,29,23,2,0.97
abs13ins20024_04204,Con1,32,23,2,0.97
abs13ins20024_04204,Con1,35,23,2,0.91
abs13ins20024_04204,Con1,38,23,2,0.99
abs13ins20024_04204,Con1,41,23,2,1.00
abs13ins20024_04204,Con1,44,23,2,1.00
abs13ins20024_04204,Con1,47,23,2,0.97
abs13ins20024_04204,Con1,50,23,2,0.85
abs13ins20024_04204,Con1,53,23,2,0.88
abs13ins20024_04204,Con1,56,23,2,0.98
abs13ins20024_04204,Con1,59,23,2,0.90
abs13ins20024_04204,Con1,62,23,2,0.94
abs13ins20024_04204,Con1,17,26,2,0.98
abs13ins20024_04204,Con1,20,26,2,0.95
abs13ins20024_04204,Con1,23,26,2,0.94
abs13ins20024_04204,Con1,26,26,2,0.93
abs13ins20024_04204,Con1,29,26,2,1.00
abs13ins20024_04204,Con1,32,26,2,0.98
abs13ins20024_04204,Con1,35,26,2,0.98
abs13ins20024_04204,Con1,38,26,2,0.99
abs13ins20024_04204,Con1,41,26,2,0.98
abs13ins20024_04204,Con1,44,26,2,0.98
abs13ins20024_04204,Con1,47,26,2,0.98
abs13ins20024_04204,Con1,50,26,2,0.99
abs13ins20024_04204,Con1,53,26,2,0.94
abs13ins20024_04204,Con1,56,26,2,0.96
abs13ins20024_04204,Con1,59,26,2,0.99
abs13ins20024_04204,Con1,62,26,2,0.94
abs13ins20024_04204,Con1,20,29,2,0.83
abs13ins20024_04204,Con1,23,29,2,0.94
abs13ins20024_04204,Con1,26,29,2,0.64
abs13ins20024_04204,Con1,29,29,2,0.99
abs13ins20024_04204,Con1,32,29,2,0.89
abs13ins20024_04204,Con1,35,29,2,0.97
abs13ins20024_04204,Con1,38,29,2,0.98
abs13ins20024_04204,Con1,41,29,2,0.92
abs13ins20024_04204,Con1,44,29,2,0.95
abs13ins20024_04204,Con1,47,29,2,0.98
abs13ins20024_04204,Con1,50,29,2,0.98
abs13ins20024_04204,Con1,53,29,2,0.93
abs13ins20024_04204,Con1,56,29,2,0.96
abs13ins20024_04204,Con1,59,29,2,0.76
abs13ins20024_04204,Con1,20,32,2,0.74
abs13ins20024_04204,Con1,23,32,2,0.91
abs13ins20024_04204,Con1,26,32,2,0.99
abs13ins20024_04204,Con1,29,32,2,0.97
abs13ins20024_04204,Con1,32,32,2,0.86
abs13ins20024_04204,Con1,35,32,2,0.90
abs13ins20024_04204,Con1,38,32,2,0.86
abs13ins20024_04204,Con1,41,32,2,0.85
abs13ins20024_04204,Con1,44,32,2,0.90
abs13ins20024_04204,Con1,47,32,2,0.92
abs13ins20024_04204,Con1,50,32,2,0.96
abs13ins20024_04204,Con1,53,32,2,0.98
abs13ins20024_04204,Con1,56,32,2,0.99
abs13ins20024_04204,Con1,59,32,2,0.96
abs13ins20024_04204,Con1,20,35,2,0.95
abs13ins20024_04204,Con1,23,35,2,0.75
abs13ins20024_04204,Con1,26,35,2,0.98
abs13ins20024_04204,Con1,29,35,2,0.99
abs13ins20024_04204,Con1,32,35,2,0.66
abs13ins20024_04204,Con1,35,35,2,0.60
abs13ins20024_04204,Con1,38,35,2,0.94
abs13ins20024_04204,Con1,41,35,2,0.78
abs13ins20024_04204,Con1,44,35,2,0.99
abs13ins20024_04204,Con1,47,35,2,0.99
abs13ins20024_04204,Con1,50,35,2,0.92
abs13ins20024_04204,Con1,53,35,2,0.88
abs13ins20024_04204,Con1,56,35,2,0.96
abs13ins20024_04204,Con1,32,38,2,0.98
abs13ins20024_04204,Con1,35,38,2,0.96
abs13ins20024_04204,Con1,38,38,2,0.98
abs13ins20024_04204,Con1,41,38,2,0.99
abs13ins20024_04204,Con1,44,38,2,1.00
abs13ins20024_04204,Con1,47,38,2,0.99
abs13ins20024_04204,Con1,35,41,2,1.00
abs13ins20024_04204,Con1,38,41,2,1.00
abs13ins20024_04204,Con1,41,41,2,0.99
abs13ins20024_04204,Con1,44,41,2,0.99
abs13ins20024_04204,Con1,23,53,2,0.94
abs13ins20024_04204,Con1,17,56,2,0.98
abs13ins20024_04204,Con1,20,56,2,0.95
abs13ins20024_04204,Con1,23,56,2,0.91
abs13ins20024_04204,Con1,14,59,2,0.98
abs13ins20024_04204,Con1,17,59,2,0.96
abs13ins20024_04204,Con1,20,59,2,0.93
abs13ins20024_04204,Con1,47,11,5,0.92
abs13ins20024_04204,Con1,50,11,5,0.97
abs13ins20024_04204,Con1,20,14,5,0.90
abs13ins20024_04204,Con1,23,14,5,0.65
abs13ins20024_04204,Con1,26,14,5,0.82
abs13ins20024_04204,Con1,29,14,5,0.85
abs13ins20024_04204,Con1,32,14,5,0.51
abs13ins20024_04204,Con1,35,14,5,0.65
abs13ins20024_04204,Con1,38,14,5,0.93
abs13ins20024_04204,Con1,41,14,5,0.79
abs13ins20024_04204,Con1,44,14,5,0.86
abs13ins20024_04204,Con1,47,14,5,0.96
abs13ins20024_04204,Con1,50,14,5,0.94
abs13ins20024_04204,Con1,53,14,5,0.94
abs13ins20024_04204,Con1,56,14,5,0.98
abs13ins20024_04204,Con1,17,17,5,0.88
abs13ins20024_04204,Con1,20,17,5,0.77
abs13ins20024_04204,Con1,23,17,5,0.96
abs13ins20024_04204,Con1,26,17,5,0.58
abs13ins20024_04204,Con1,29,17,5,0.85
abs13ins20024_04204,Con1,32,17,5,0.75
abs13ins20024_04204,Con1,35,17,5,0.93
abs13ins20024_04204,Con1,38,17,5,0.82
abs13ins20024_04204,Con1,41,17,5,0.73
abs13ins20024_04204,Con1,44,17,5,0.70
abs13ins20024_04204,Con1,47,17,5,0.91
abs13ins20024_04204,Con1,50,17,5,0.85
abs13ins20024_04204,Con1,53,17,5,0.57
abs13ins20024_04204,Con1,56,17,5,0.96
abs13ins20024_04204,Con1,59,17,5,0.93
abs13ins20024_04204,Con1,62,17,5,0.89
abs13ins20024_04204,Con1,14,20,5,0.98
abs13ins20024_04204,Con1,17,20,5,0.87
abs13ins20024_04204,Con1,20,20,5,0.35
abs13ins20024_04204,Con1,23,20,5,0.81
abs13ins20024_04204,Con1,26,20,5,0.93
abs13ins20024_04204,Con1,29,20,5,0.93
abs13ins20024_04204,Con1,32,20,5,0.98
abs13ins20024_04204,Con1,35,20,5,0.94
abs13ins20024_04204,Con1,38,20,5,0.91
abs13ins20024_04204,Con1,41,20,5,0.43
abs13ins20024_04204,Con1,44,20,5,0.72
abs13ins20024_04204,Con1,47,20,5,0.90
abs13ins20024_04204,Con1,50,20,5,0.68
abs13ins20024_04204,Con1,53,20,5,0.97
abs13ins20024_04204,Con1,56,20,5,0.91
abs13ins20024_04204,Con1,59,20,5,0.61
abs13ins20024_04204,Con1,62,20,5,0.96
abs13ins20024_04204,Con1,65,20,5,0.32
abs13ins20024_04204,Con1,14,23,5,0.67
abs13ins20024_04204,Con1,17,23,5,0.75
abs13ins20024_04204,Con1,20,23,5,0.47
abs13ins20024_04204,Con1,23,23,5,0.74
abs13ins20024_04204,Con1,26,23,5,0.97
abs13ins20024_04204,Con1,29,23,5,0.98
abs13ins20024_04204,Con1,32,23,5,0.96
abs13ins20024_04204,Con1,35,23,5,0.99
abs13ins20024_04204,Con1,38,23,5,0.95
abs13ins20024_04204,Con1,41,23,5,0.61
abs13ins20024_04204,Con1,44,23,5,0.60
abs13ins20024_04204,Con1,47,23,5,0.98
abs13ins20024_04204,Con1,50,23,5,0.94
abs13ins20024_04204,Con1,53,23,5,0.97
abs13ins20024_04204,Con1,56,23,5,0.88
abs13ins20024_04204,Con1,59,23,5,0.92
abs13ins20024_04204,Con1,62,23,5,0.95
abs13ins20024_04204,Con1,65,23,5,0.70
abs13ins20024_04204,Con1,17,26,5,0.92
abs13ins20024_04204,Con1,20,26,5,0.80
abs13ins20024_04204,Con1,23,26,5,0.78
abs13ins20024_04204,Con1,26,26,5,0.86
abs13ins20024_04204,Con1,29,26,5,0.99
abs13ins20024_04204,Con1,32,26,5,0.85
abs13ins20024_04204,Con1,35,26,5,1.00
abs13ins20024_04204,Con1,38,26,5,0.99
abs13ins20024_04204,Con1,41,26,5,0.91
abs13ins20024_04204,Con1,44,26,5,0.69
abs13ins20024_04204,Con1,47,26,5,0.90
abs13ins20024_04204,Con1,50,26,5,0.99
abs13ins20024_04204,Con1,53,26,5,0.96
abs13ins20024_04204,Con1,56,26,5,0.94
abs13ins20024_04204,Con1,59,26,5,0.97
abs13ins20024_04204,Con1,62,26,5,0.85
abs13ins20024_04204,Con1,65,26,5,0.95
abs13ins20024_04204,Con1,17,29,5,0.77
abs13ins20024_04204,Con1,20,29,5,0.87
abs13ins20024_04204,Con1,23,29,5,0.96
abs13ins20024_04204,Con1,26,29,5,0.77
abs13ins20024_04204,Con1,29,29,5,0.93
abs13ins20024_04204,Con1,32,29,5,0.93
abs13ins20024_04204,Con1,35,29,5,0.96
abs13ins20024_04204,Con1,38,29,5,1.00
abs13ins20024_04204,Con1,41,29,5,0.94
abs13ins20024_04204,Con1,44,29,5,0.92
abs13ins20024_04204,Con1,47,29,5,0.97
abs13ins20024_04204,Con1,50,29,5,0.99
abs13ins20024_04204,Con1,53,29,5,0.98
abs13ins20024_04204,Con1,56,29,5,0.81
abs13ins20024_04204,Con1,59,29,5,0.83
abs13ins20024_04204,Con1,62,29,5,0.91
abs13ins20024_04204,Con1,65,29,5,0.99
abs13ins20024_04204,Con1,17,32,5,0.80
abs13ins20024_04204,Con1,20,32,5,0.91
abs13ins20024_04204,Con1,23,32,5,0.94
abs13ins20024_04204,Con1,26,32,5,0.71
abs13ins20024_04204,Con1,29,32,5,0.93
abs13ins20024_04204,Con1,32,32,5,0.97
abs13ins20024_04204,Con1,35,32,5,0.95
abs13ins20024_04204,Con1,38,32,5,0.95
abs13ins20024_04204,Con1,41,32,5,0.98
abs13ins20024_04204,Con1,44,32,5,0.97
abs13ins20024_04204,Con1,47,32,5,0.90
